Scenario,Random_Seed,Iteration,Num_Experiments,yield_Measurements,yield_IterBest,yield_CumBest,Initial_Data
1,1337,6,14,"[4.89, 25.31]",25.31,57.27,11.0
1,1337,7,16,"[3.4, 1.71]",3.4,57.27,11.0
1,1337,8,18,"[0.41, 19.55]",19.55,57.27,11.0
1,1337,9,20,"[14.29, 11.68]",14.29,57.27,11.0
1,1337,0,2,"[39.55, 22.3]",39.55,39.55,12.0
1,1337,1,4,"[3.6, 5.22]",5.22,39.55,12.0
1,1337,2,6,"[5.75, 0.0]",5.75,39.55,12.0
1,1337,3,8,"[0.0, 0.0]",0.0,39.55,12.0
1,1337,4,10,"[57.27, 47.03]",57.27,57.27,12.0
1,1337,5,12,"[5.62, 6.98]",6.98,57.27,12.0
1,1337,6,14,"[37.38, 3.4]",37.38,57.27,12.0
1,1337,7,16,"[5.29, 44.96]",44.96,57.27,12.0
1,1337,8,18,"[40.47, 11.77]",40.47,57.27,12.0
1,1337,9,20,"[46.46, 33.59]",46.46,57.27,12.0
1,1337,0,2,"[10.13, 7.25]",10.13,10.13,13.0
1,1337,1,4,"[3.6, 5.22]",5.22,10.13,13.0
1,1337,2,6,"[5.75, 0.0]",5.75,10.13,13.0
1,1337,3,8,"[0.0, 0.0]",0.0,10.13,13.0
1,1337,4,10,"[57.27, 47.03]",57.27,57.27,13.0
1,1337,5,12,"[5.62, 6.98]",6.98,57.27,13.0
1,1337,6,14,"[37.38, 3.4]",37.38,57.27,13.0
1,1337,7,16,"[1.71, 0.41]",1.71,57.27,13.0
1,1337,8,18,"[19.55, 14.29]",19.55,57.27,13.0
1,1337,9,20,"[11.68, 43.2]",43.2,57.27,13.0
1,1337,0,2,"[16.57, 44.4]",44.4,44.4,14.0
1,1337,1,4,"[3.6, 5.22]",5.22,44.4,14.0
1,1337,2,6,"[5.75, 0.0]",5.75,44.4,14.0
1,1337,3,8,"[0.0, 0.0]",0.0,44.4,14.0
1,1337,4,10,"[57.27, 47.03]",57.27,57.27,14.0
1,1337,5,12,"[5.62, 4.89]",5.62,57.27,14.0
1,1337,6,14,"[12.23, 5.29]",12.23,57.27,14.0
1,1337,7,16,"[12.91, 37.3]",37.3,57.27,14.0
1,1337,8,18,"[26.56, 31.66]",31.66,57.27,14.0
1,1337,9,20,"[43.84, 2.72]",43.84,57.27,14.0
1,1338,0,2,"[43.2, 44.22]",44.22,44.22,0.0
